Title,Year,Genre,Rating,Certificate,Directors,Cast,Description,Runtime
30 Years to Life (2001) ,2001,"Comedy, Drama, Romance",5.9,R,['Vanessa Middleton'],"['Erika Alexander', 'Melissa De Sousa', 'Tracy Morgan', 'Paula Jai Parker', 'Allen Payne', 'T.E. Russell', 'Kadeem Hardison', 'Eddie Brill', 'Janet Hubert', 'Laz Alonso', 'Dominique', 'Wil Sylvince', 'Godfrey', 'Nadja Alvarado', 'Pattie J. Barbosa', 'Rochelle Bostrom', 'Dominique', 'Dominique', 'Pat Floyd', 'Dennis Jay Funny', 'Jim Gaffigan', 'Godfrey', 'Godfrey', 'Eivor Johansson', 'Christian A. Kim', 'Donald Koanegay', 'Donald Kornegay', 'Donald ""DAY"" Kornegay', 'Groovy Lew', 'Carol Maillard', 'Barry Milligan', 'Monifa', 'Randall Montgomery', 'Lena Moore', 'Garland Mosley', 'Maia Nicholson', 'Ernest Rayford', 'Mark Reavy', 'Mark Reay', ""Stu 'Large' Riley"", 'Felice Schachter', 'Kinya Shakur', 'Brett Stephan', 'July Streets', 'TamikkoBeasty', 'Kyla Upshaw', 'Jack Walsh', 'Waris', 'Jay Wright', 'Brian Bentham', 'Grace Garland']","30 Years to Life: Directed by Vanessa Middleton. With Erika Alexander, Melissa De Sousa, Tracy Morgan, Paula Jai Parker. A group of friends each face an emotional crisis as they approach thirty years of age.",110
MacArthur Park (2001) ,2001,"Action, Drama",6.2,R,['Billy Wirth'],"['Thomas Jefferson Byrd', 'Brandon Quintin Adams', 'Bad Azz', 'Tami Roman', 'Miguel A. Núñez Jr.', 'Ellen Cleghorne', 'B-Real', 'Lori Petty', 'Glenn Plummer', 'Sydney Tamiia Poitier', 'Sticky Fingaz', 'Balthazar Getty', 'Kirk Taylor', 'Alexia Robinson', 'Keno K. Deary', 'Julie Delpy', 'Carlton Wilborn', 'Cynda Williams', 'David Faustino', 'Rachel Hunter', 'William DaRuffa', 'Zahn McClarnon', 'Douglas Embry', 'Sydney Walsh', 'Saaphyri Windsor', 'Gil Espinoza', 'Bill Ross']","MacArthur Park: Directed by Billy Wirth. With Thomas Jefferson Byrd, Brandon Quintin Adams, Bad Azz, Tami Roman. The story follows one of many homeless crack addicts living and trying to survive in MacArthur Park. Unbeknownst to perhaps even himself, a man rediscovers why and how he ended up so broken and alone, all while trying to reconnect with his estranged son in a 24-hour period.",86
My Sister's Wedding (2001) ,2001,Romance,6.4,,['David W. Leitner'],"['Melissa Lee', 'Blanchard Ryan', 'Jessie Hutcheson', 'Gabriel Carpenter', 'Christopher Matthews', 'Deirdre Lovejoy', 'Michael Malone', 'Abiola Abrams', 'John Gleeson Connolly', 'Donna Drake', 'Frank Todaro', 'Patrick Wilson', 'Jarret Wright']","My Sister's Wedding: Directed by David W. Leitner. With Melissa Lee, Blanchard Ryan, Jessie Hutcheson, Gabriel Carpenter.",
The Trouble with Lou (2001) ,2001,"Comedy, Romance",7.9,Not Rated,['Gregor Joackim'],"['Lou Romano', 'Katheryn Cain', 'Tom Winkler', 'Michelle Maaske', 'Donne McRae', 'Michael Ambrosini', 'Paul Factora', 'Tony Ray Gonzales', 'Wil Panganiban', 'Harry Sabin', 'Lew Stedman', 'Marcia Walter']","The Trouble with Lou: Directed by Gregor Joackim. With Lou Romano, Katheryn Cain, Tom Winkler, Michelle Maaske. Lou is a teenager with a very personal problem that prevents him from socializing with women. When a new student named Margaret arrives at his school, Lou decides he'd like to win her over.",90
Daydream Believer (2001) ,2001,Drama,5.9,,['Debra Eisenstadt'],"['Patrick Barnes', 'Andrew Hernin', 'Sybil Kempson', 'Wendy Lawrence', 'Sherri Parker Lee', 'Tom McWilliams', 'Louis Puopolo', 'Amanda Ronconi', 'Gladden Schrock', 'Candice L. Owens']","Daydream Believer: Directed by Debra Eisenstadt. With Patrick Barnes, Andrew Hernin, Sybil Kempson, Wendy Lawrence. An aspiring actress impulsively leaves her small Vermont town and moves to New York City to pursue her dream of being famous.",
Enigma (2001) ,2001,"Drama, Mystery, Romance",6.4,R,['Michael Apted'],"['Dougray Scott', 'Kate Winslet', 'Saffron Burrows', 'Jeremy Northam', 'Nikolaj Coster-Waldau', 'Tom Hollander', 'Donald Sumpter', 'Matthew Macfadyen', 'Richard Leaf', 'Ian Felce', 'Bo Poraj', 'Paul Rattray', 'Richard Katz', 'Tom Fisher', 'Robert Pugh', 'Corin Redgrave', 'Nicholas Rowe', 'Angus MacInnes', 'Mary MacLeod', 'Michael Troughton', 'Edward Hardwicke', 'Anne-Marie Duff', 'Tim Bentinck', 'Rosie Thomson', 'Emma Buckley', 'Mirjam de Rooij', 'Adrian Preater', 'Edward Woodall', 'Hywel Simons', 'Emma Davies', 'Martin Glyn Murray', 'Wilhelm Brückner', 'Gary Bunn', 'Wayne Docksey', 'Tracy Gardener', 'Joseph Goebbels', 'Adolf Hitler', 'Mick Jagger', 'Mark Kleuskens', 'Viktor Lutze', 'Lee Montague', 'Tim Pruce', 'Julius Schaub', 'Jane Staiano', 'Werner von Blomberg', 'Werner von Fritsch', 'Bevan Walsh', 'Paul Woodadge']","Enigma: Directed by Michael Apted. With Dougray Scott, Kate Winslet, Saffron Burrows, Jeremy Northam. A young genius frantically races against time to crack an enemy code and solve the mystery surrounding the woman he loves.",119
"Scotland, PA (2001) ",2001,"Comedy, Crime",6.6,R,['Billy Morrissette'],"['James Le Gros', 'Maura Tierney', 'Christopher Walken', 'Kevin Corrigan', 'James Rebhorn', 'Tom Guiry', 'Amy Smart', ""Timothy 'Speed' Levitch"", 'Andy Dick', 'Geoff Dunsworth', 'Josh Pais', 'Reed Rudy', 'John Cariani', 'David Wike', 'Nicola Lipman', 'Rhonda McLean', 'Glenn Wadman', 'Doug Gochman', 'Michael Marinoff', 'Nate Crawford', 'Carol Sinclair', 'Heather Rankin', 'Keith Summa', 'Daniel Lillford', 'Timothy Durkin', 'Richard Shepard', 'Justin Friesen', 'Adam Lichtenstein', 'Billy Morrissette', 'Dax Ravina']","Scotland, PA: Directed by Billy Morrissette. With James Le Gros, Maura Tierney, Christopher Walken, Kevin Corrigan. In a modernized retelling of ""MacBeth"" set in 1970s suburban Pennsylvania, Joe McBeth, an unambitious hamburger stand employee, is driven to success by his scheming wife.",104
Jack the Dog (2001) ,2001,"Comedy, Drama",4.7,,['Bobby Roth'],"['Nestor Carbonell', 'Barbara Williams', 'Andrew J. Ferchland', 'Travis Fine', 'Barry Newman', 'Micole Mercurio', 'Peter Coyote', 'Thomas Gibson', 'Anthony LaPaglia', 'Jürgen Prochnow', 'Lauren Tom', 'Elizabeth Barondes', 'Carole Davis', 'Navi Rawat', 'Grey Griffin', 'Gia Carides', 'Gabe Kaplan', 'Alma Avery', 'Tracey Walter', 'Brigitta Dau', 'Pedro Shanahan', 'Gabriella Ortega Ricketts', 'Nina Ameri', 'Ashley Baer', 'Alicia Borrego', 'Anna Lobell', 'Elaine Nicell', 'Nicole Feenstra', 'Cari Shayne', 'Alizabeth Denman', 'Fiona Angus', 'Kim Haegle', 'Kayla Allen']","Jack the Dog: Directed by Bobby Roth. With Nestor Carbonell, Barbara Williams, Andrew J. Ferchland, Travis Fine. Jack is a womanizer, but settles down with Faith. When the marriage falls apart due to Jack's desire for women, he gets shared custody of his son. Living with his son, slowly things in the mind of Jack are changing.",
Haiku Tunnel (2001) ,2001,Comedy,6.1,R,"['Jacob Kornbluth', 'Josh Kornbluth']","['Josh Kornbluth', 'Warren Keith', 'Sarah Overman', 'Leah Alperin', 'Jacob Kornbluth', 'Stephen Muller', 'Linda Norton', 'Helen Shumaker', 'Amy Resnick', 'Brian Thorstenson', 'June Carryl', 'Joanne Evangelista', 'Jennifer Laske', 'Patricia Scanlon', 'Joe Bellan', 'Michael X. Sommers', 'Jodean Lawrence', 'Harry Shearer', 'Joshua Raoul Brody', 'Adele Proom', ""Tracy O'Neil Heffernan"", 'Steve Klinger', 'Jessica Hird', 'Margo Hall', 'John Bellucci', 'Brian Keith Russell', 'Baron Bruno', 'David Fine', 'Todd Hickey']","Haiku Tunnel: Directed by Jacob Kornbluth, Josh Kornbluth. With Josh Kornbluth, Warren Keith, Sarah Overman, Leah Alperin. Josh has an offer to ""go perm"" at his employer and the first task is to mail 17 high priority letters....something that seems a little difficult to do.",88
Virgil Bliss (2001) ,2001,"Crime, Drama, Romance",6.9,Not Rated,['Joe Maggio'],"['Clint Jordan', 'Kirsten Russell', 'Anthony Gorman', 'Greg Amici', 'Marc Romeo', 'Anthony Hayden', 'Tom Brangle', 'Whitney Hamilton', 'Denny Dale Bess', 'Alejandra Leon', 'Richard Biermann', 'Patrick Sullivan', 'John Hagemann', 'Patrick Walsh', 'Mike Bubb', 'Edward H. Hamm Jr.', 'Alan Reeder', 'Matthew Auriemma', 'Jason Jones']","Virgil Bliss: Directed by Joe Maggio. With Clint Jordan, Kirsten Russell, Anthony Gorman, Greg Amici. Virgil Bliss is a man obsessed with living a normal life, finding a good job, marrying a decent woman, and building a family of his own. But as a recently paroled career thief with a hair-trigger temper and the social skills of a child, he faces distinct challenges. At the halfway house where he gets his first taste of freedom in over a decade, Virgil meets Manny Alvarez, a fiery miscreant who takes the emotionally naive Virgil under his wing and initiates him in the ways of the world. It's Manny who introduces Virgil to Ruby, an opportunistic junkie with whom Virgil falls instantly in love. As Virgil and Ruby learn to trust each other, they share their concerns: Ruby plans to win back custody of her four-year-old son and Virgil confesses the horrible and senseless crime that landed him in prison. After his release from the halfway house, Virgil finds work as a janitor and moves in with Ruby. But their attempts to adjust as a family come undone with the arrival of the psychotic Manny.",93
Margarita Happy Hour (2001) ,2001,Drama,5.8,,['Ilya Chaiken'],"['Eleanor Hutchins', 'Larry Fessenden', 'Holly Ramos', 'Barbara Sicuranza', 'Amanda Vogel', 'Macha Ross', 'Kristin Di Spaltro', 'Jonah Leland', 'Tippitina Horowitz', 'Theodora Horowitz', 'Georgia Schnore', 'Katherine Gange', 'Arthur Crockett', 'Viva Ruiz', 'Kelly Webb', 'Will Keenan', 'Greg Zuccalo', 'Maura Naughton', 'Ruby Evans Leary', 'Lucy Knight', 'Tara Lee Hergenhan', 'Lora Marie Williams', 'Michael Buscemi', 'David Turley', 'Cherry Brodbeck', 'Julie Spodek', 'Lisa Ludwig', 'Matthew Gellert', 'Lucas Cooper', 'Sandra Trebilcock', 'Isabel Robayo', 'Rik Giannola', ""Greg 'G-Spot' Siebel"", 'Verna Hampton', 'Janet Ninatanta', 'George Crooks', 'Margarita Santiago', 'Tony Navarro', 'Michael Fegley', 'Carol Todes', 'Sophia Alexis', 'Margaret Elizabeth Mann', 'David Leslie', 'Steve Vassi', 'Ezra Venetos', 'Jay Evans', 'Todd Carlstrom', 'Elizabeth Cummings', 'Michael Vacco', 'Sandra Oles', 'Ann McGuire', 'Arianna Vena', 'Jerrie Swanson', 'Michael Schmidt', 'Michael Godere', 'John Bryant']","Margarita Happy Hour: Directed by Ilya Chaiken. With Eleanor Hutchins, Larry Fessenden, Holly Ramos, Barbara Sicuranza. Five ""disreputable"" women from Brooklyn meet in the late-afternoon hours to throw back half-price drink specials and bitch uninhibitedly about life, libidos and lactation.",
Nebraska Supersonic (2001) ,2001,Comedy,7.9,Unrated,['Jeremy Lerman'],"['Nate Hall', 'Corrin Hodgson', 'Jesse Joyner', 'Matt Kelehan', 'Sonny Robinson']","Nebraska Supersonic: Directed by Jeremy Lerman. With Nate Hall, Corrin Hodgson, Jesse Joyner, Matt Kelehan. In Omaha, Nebraska, three buddies--all sub-par French majors--start a business that should not succeed on the vast Great Plains: a bicycle courier service. Through absurd adventures, personal challenges, and while charging only two dollars per 120-mile delivery, their business becomes a resounding success. But will success ruin their friendship? And what's a teriyaki cupcake? And who is ""Doody"" Judy? Writer/Director Jeremy Lerman brings us this film-festival favorite, a comedy with ""The subtly warped style of Bottle Rocket or Swingers."" (Timothy Schaffert, The Reader)",75
Wet Hot American Summer (2001) ,2001,"Comedy, Romance",6.5,R,['David Wain'],"['Janeane Garofalo', 'David Hyde Pierce', 'Michael Showalter', 'Marguerite Moreau', 'Paul Rudd', 'Zak Orth', 'Christopher Meloni', 'A.D. Miles', 'Molly Shannon', 'Gideon Jacobs', 'Ken Marino', 'Joe Lo Truglio', 'Michael Ian Black', 'Liam Norton', 'Amy Poehler', 'Bradley Cooper', 'Marisa Ryan', 'Elizabeth Banks', 'Gabriel Millman', 'Kevin Sussman', 'Kevin Thomas Conroy', 'Topher Cusumano', 'Cassidy Ladden', 'Madeline Blue', 'Nina Hellman', 'Peter Salett', 'Judah Friedlander', 'Jacob Shoesmith-Fox', 'Whitney Vance', 'Benjamin Coppola', 'H. Jon Benjamin', 'Jake Fogelnest', 'Ian Helfer', 'Jordan MacLean', 'Avi Setton', 'Kyle Gallner', 'Kathleen Pandolfo', 'Zachary Montgomery-Wicks', 'Danny Hopkins', 'Christopher Connors', 'Matt Carmeci', ""Stephen O'Brien"", 'Timothy Gasiewski', 'Angel Berlane', 'Christi Berlane', 'Bob Walz', 'Joseph Kariuki', 'Donna Mitchell', 'Joe Bryan', 'Christine Loebsack', 'Sandra Kennedy', 'Keith Oney', 'Josh Bodwell', 'Mike Carrera', 'Wendy Prior Fentress', 'Ashlee Rose Gaughan', 'Kabira Hochberg', 'Joe James', 'Kerri Kenney', 'Greg Korin', 'Gerri Lawlor', 'Samm Levine', 'Marla Ratner', 'Alex J. Spence', 'David Wain']","Wet Hot American Summer: Directed by David Wain. With Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau. Set on the last day of camp, in the hot summer of 1981, a group of counselors try to complete their unfinished business before the day ends.",97
Waking Life (2001) ,2001,"Animation, Drama, Fantasy",7.7,R,['Richard Linklater'],"['Trevor Jack Brooks', 'Lorelei Linklater', 'Wiley Wiggins', 'Glover Gill', 'Lara Hicks', 'Ames Asbell', 'Leigh Mahoney', 'Sara Nelson', 'Jeanine Attaway', 'Erik Grostic', 'Bill Wise', 'Robert C. Solomon', 'Kim Krizan', 'Eamonn Healy', 'J.C. Shakespeare', 'Ethan Hawke', 'Julie Delpy', 'Charles Gunning', 'David Sosa', 'Alex Jones', 'Otto Hofmann', 'Aklilu Gebrewold', 'Carol Dawson', 'Lisa Moore', 'Steve Fitch', 'Louis Mackey', 'Alex Nixon', 'Violet Nichols', 'Steven Prince', 'Ken Webster', 'Mary McBay', 'Kregg A. Foote', 'Jason T. Hodge', 'Guy Forsyth', 'John Christensen', 'Caveh Zahedi', 'David Jewell', 'Adam Goldberg', 'Nicky Katt', 'Jason Liebrecht', 'Brent Green', 'RC Whittaker', 'Hymie Samuelson', 'David Martínez', 'Ryan Power', 'Tiana Hux', ""Timothy 'Speed' Levitch"", 'Steve Brudniak', 'Marta Banda', 'Steven Soderbergh', 'Charles Murdock', 'Mona Lee Fultz', 'Edith Mannix', 'Bess Cox', 'Louis Black', 'Richard Linklater', 'Kierstin Cunnington']","Waking Life: Directed by Richard Linklater. With Trevor Jack Brooks, Lorelei Linklater, Wiley Wiggins, Glover Gill. A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.",99
Wendigo (2001) ,2001,"Horror, Mystery, Thriller",5.1,R,['Larry Fessenden'],"['Patricia Clarkson', 'Jake Weber', 'Erik Per Sullivan', 'John Speredakos', 'Christopher Wynkoop', 'Lloyd Oxendine', 'Brian Delate', 'Jennifer Wiltsie', 'Maxx Stratton', 'Richard Stratton', 'Dash Stratton', 'Dwayne Navara', 'Shelly Bolding', 'Susan Pellegrino', 'James Godwin', 'Joseph C. Felece', 'Jack Fessenden', 'Daniel Stewart Sherman']","Wendigo: Directed by Larry Fessenden. With Patricia Clarkson, Jake Weber, Erik Per Sullivan, John Speredakos. The legend of the Wendigo, a beast from Indian folklore who is half-man, half-deer, and can change itself at will.",91
Madison (2001) ,2001,"Drama, Sport",6.3,PG,['William Bindley'],"['Jim Caviezel', 'Jake Lloyd', 'Mary McCormack', 'Bruce Dern', 'Paul Dooley', 'Brent Briscoe', 'Mark Fauser', 'Reed Diamond', 'Frank Knapp Jr.', 'Chelcie Ross', 'Byrne Piven', 'William Shockley', 'Matt Letscher', 'Richard Lee Jackson', 'Kristina Anapau', 'Vincent Ventresca', 'Cody McMains', 'John M. Watson Sr.', 'James Andelin', 'Carl Amari', 'Len Foley', 'Jane Galloway Heitz', 'Kathleen Ewing', 'Laura Whyte', 'Bernie Landis', 'Jim Hendrick', 'Dean Biasucci', 'Bob North', 'Emily Salutric', 'Brie Larson', 'Will Bindley', 'Cully Smoller', 'Roger Wolski', 'W.E. Bindley', 'Don Youngblood', 'Fran Williamson', 'Chris Dennis', 'Don Keaton', 'Sharon Bishop', 'Greg Thomas', 'Joy Ellison', 'Tony Steinhardt', 'Denise Dal Vera', 'Gabrielle Evans', 'Kyle McClanahan', 'Randall Gienko', 'Mercedes Blanco', 'Betsey Vonderheide', 'Peter Marmentini', 'Zack Rosenfield', 'Cynthia Elterman', 'Sue Dennis', 'Hank Johnston', 'John Adrian Riley', 'Mel Vonderheide', 'Jan Lucas', 'James Fields', 'John Mellencamp', 'Marcus Daniel', 'Olivia Francessca', 'Seth Pennington', 'Richard Stiller', 'Niko El Santo Zavero', 'Christopher Francis', 'Corey Large', 'Roy McAllister', 'Jane Rulon']","Madison: Directed by William Bindley. With Jim Caviezel, Jake Lloyd, Mary McCormack, Bruce Dern. A story about a man's personal struggle to victory in the 1971 Madison, Indiana hydro-plane regatta.",94
After Image (2001) ,2001,"Drama, Thriller",3.7,R,['Robert Manganelli'],"['John Mellencamp', 'Terrylene', 'Michael Zelniker', 'Louise Fletcher', 'Billy Burke', 'Michael Twaine', 'Kristen Royal', 'Mark S. Almekinder', 'Dea Lawrence', 'Charlie Smith', 'Gary Ciula', 'Bradford B. Moody', 'Dina Corsetti', 'Otis Young', 'Erica Calman', 'Gio Manganelli', 'Taylor Nichols', 'John Cocca', 'Frank Beretta', 'Liz Cameron', 'Stephen A. Clark', 'Billy Hallowell', 'Mike Sullivan', 'Robert Caso', 'Marc Raco', 'Kirsten Holly Smith']","After Image: Directed by Robert Manganelli. With John Mellencamp, Terrylene, Michael Zelniker, Louise Fletcher. The story of a clairvoyant who falls in love with a crime photographer. Soon, both become involved in the search for a pathological murderer.",92
Wave Twisters (2001) ,2001,"Animation, Adventure, Musical",7.5,Unrated,"['Syd Garon', 'Eric Henry']","['DJ Q-Bert', 'D-Styles', 'Flare', 'Buckethead', 'Riche-Van Desuasido', 'DJ Flare']","Wave Twisters: Directed by Syd Garon, Eric Henry. With DJ Q-Bert, D-Styles, Flare, Buckethead. A crew of heroes, cleverly disguised as a team of oral hygenists, is determined to save the lost arts of Hip Hop (B-boying, Graffiti, MCing, and of course, Skratching) from total extinction. The lost arts are being oppressed throughout inner-space by lord Ook and his evil minions the Chinheads. The dental commander and his team, armed with the ancient relic known as the Wave Twister (the only weapon powerful enough to defeat the enemies), travel to the far ends of inner-space for a final confrontation with the sinister army of oppressors.",
Black Days (2001) ,2001,"Comedy, Mystery, Romance",6.3,,"['Ari Margolis', 'James Morley III']","['Stirling Gardner', 'Shiva Rose', 'D. Reynolds', 'Nicolas Roye', 'Matthew Winberg', 'William Frederick Knight', 'Sarah Silverman', 'Greg Benson', 'Karl T. Hirsch']","Black Days: Directed by Ari Margolis, James Morley III. With Stirling Gardner, Shiva Rose, D. Reynolds, Nicolas Roye. The classic story of ""angst ridden artist meets psychotic misanthrope"" takes a grisly, yet esoteric turn in this darkly comedic exploration of the film noir genre.",
Sugar & Spice (2001) ,2001,"Comedy, Crime",5.7,PG-13,['Francine McDougall'],"['Marla Sokoloff', 'Marley Shelton', 'Melissa George', 'Mena Suvari', 'Rachel Blanchard', 'Alexandra Holden', 'Sara Marsh', 'James Marsden', 'Sean Young', 'W. Earl Brown', 'Adam Busch', 'Jake Hoffman', 'Nate Maher', 'David Belenky', 'Kevin Kling', 'Dave Quimby', 'Jacy King', 'Wiley Harker', 'Stevie Ray Rentfrow', 'Kirsten Frantzich', 'Christopher Denton', 'Jan Puffer', 'Claudia Wilkens', 'Jeff Hopkins', 'Kevin Joseph Klein', 'Jeremy Kent Jackson', 'Jamison Haase', 'Jessie Schoen', 'Susan Fuller', 'Andy Hubbell', 'Katie Kelly', 'Ann Kellog', ""Isabell O'Connor"", 'Miriam Must', 'Jennifer Snell', 'Andrea Guilford', 'Bonnie Benjamin-Olson', 'Matt Guidry', 'Li Ning', 'Laura Fries', 'Cassie Fox', 'Kurt Loder', 'Jerry Springer', 'Joe Blackstad', 'Bojesse Christopher', 'Paul Cram', 'Frank Crandell', 'Dom Davis', 'Devon A Early', 'Brooke Engen', 'Tiffany Engen', 'Teena Flowers', 'Kristen Hirsch Montag', 'Kregg Janke', 'Eric Karros', 'Diane Kelson', 'Larissa Lowthorp', 'Anne Metcalfe', 'Josh Minnie', 'Exandrea Pitts', 'Ross Porter', 'Shelly A. Tanning', 'Joel Thingvall', 'Debbie Van Tassel', 'David William Watts', 'Mike Wielinski']","Sugar & Spice: Directed by Francine McDougall. With Marla Sokoloff, Marley Shelton, Melissa George, Mena Suvari. A popular high-school cheerleader becomes pregnant by the star quarterback and turns to crime to support her desired lifestyle.",81
Things Behind the Sun (2001) ,2001,"Drama, Music",7.0,R,['Allison Anders'],"['Aria Alpert Adjani', 'Ruben Anders', 'Rosanna Arquette', 'Mitchell Boshnack', 'Owen Butler', 'Caitlin Caldwell', 'Don Cheadle', 'Bill Cordell', 'Justin DePrume', 'Kim Dickens', 'Hal Dion', 'Brittany Renee Finamore', 'Alison Folland', 'Jesse Gelaznik', 'Jade Gordon', 'Francis T. Hickman Jr.', 'Jessica Howell', 'Patsy Kensit', 'Kadu Lennox', 'Kai Lennox', 'Joshua Leonard', 'Gabriel Mann', 'Jonathan Osteen', 'Talia Osteen', 'Ed Pellasce', 'Elizabeth Peña', 'CCH Pounder', 'Shawn Reaves', 'Alexander Sommer', 'Stephanie Stern', 'Eric Stoltz', 'Marty Stonerock', 'Rob Sullivan', 'Tom Caffey', 'J. Mascis', 'Steve McDonald', 'Jeffrey McDonald', 'Chad King', 'Josh Maynard', 'Michael S. Nunez', 'Summer Raine', 'Kristen Vigard']","Things Behind the Sun: Directed by Allison Anders. With Aria Alpert Adjani, Ruben Anders, Rosanna Arquette, Mitchell Boshnack. A young music journalist's dark memories are awakened when he goes to interview a female rock singer, and both are forced to confront troubling secrets from their pasts.",
Mutant Aliens (2001) ,2001,"Animation, Comedy, Sci-Fi",6.6,R,['Bill Plympton'],"['Dan McComas', 'Francine Lobis', 'Matthew Brown', 'George Casden', 'Jay Cavanaugh', 'Amy Allison', 'Kevin Kolack', 'Vera Beren', 'Bill Plympton', 'Thea Button', ""Silkie O'Ishi"", 'Samantha Ridgway', 'Susie Schwartz', 'Anthony Arcidi', 'John Holderried', 'Phil Lee']","Mutant Aliens: Directed by Bill Plympton. With Dan McComas, Francine Lobis, Matthew Brown, George Casden. Marooned by design in a strange asteroid inhabited by bizarre creatures, a left-for-dead astronaut miraculously heads back to Earth with a band of abominable mutant aliens to tie up some loose ends, after twenty long years in oblivion.",81
The Sleepy Time Gal (2001) ,2001,Drama,5.9,R,['Christopher Munch'],"['Jacqueline Bisset', 'Martha Plimpton', 'Nick Stahl', 'Amy Madigan', 'Frankie Faison', 'Carmen Zapata', 'Peggy Gormley', 'Seymour Cassel', 'Molly Price', 'Kate McGregor-Stewart', 'Clara Bellar', 'Justin Theroux', 'Mark Tymchyshyn', 'Anibal O. Lleras', 'Phyllis Somerville', 'Robert Hogan', 'Lola Pashalinski', 'Robin Weigert', 'Johnny Arkoosh', 'Rain Phoenix', 'Jessica Brooks Grant', 'Louise Fernandez', 'E. Hernandez', 'Kimberly Scott', 'Sarah Lassez', 'Aaron Amara Davis', 'Pepe Atramontes', 'Randall Slavin', 'Stephanie Barton-Farcas']","The Sleepy Time Gal: Directed by Christopher Munch. With Jacqueline Bisset, Martha Plimpton, Nick Stahl, Amy Madigan. A young woman, played by Martha Plimpton learns of her adoption and eventually quits her law firm job in NYC and goes on a journey to find her birth mother - played by Jaqueline Bissett.",108
Women in Film (2001) ,2001,"Comedy, Drama",4.2,R,['Bruce Wagner'],"[""Beverly D'Angelo"", 'Portia de Rossi', 'Marianne Jean-Baptiste', 'Camren Tyler Geyen', 'Yvette Marie Geyen', 'Cauleen Smith', 'Paula Crickard']","Women in Film: Directed by Bruce Wagner. With Beverly D'Angelo, Portia de Rossi, Marianne Jean-Baptiste, Camren Tyler Geyen. Three women in Hollywood talk to the camera one summer (with a coda six months later). Sara is a casting director; her soliloquies are addressed to Samson (her blind infant son) and to Holly Hunter. She talks about her husband's refusal to touch their son and her discovery of his affair. Gina is a masseuse - blithe, solipsistic, scheming to steal the energy of Hollywood players. She frequently refers to her dead sister Wanda, kidnaped by their father. Phyllis, sexually abused by her father when a teen, addresses her son Eric. She's a producer, working on remaking Pasolini's ""Teorema."" As the project falls apart, so does she. All three hum or sing, ""You made me love you.""",89
Zoe (2001) ,2001,"Action, Drama",6.8,Not Rated,['Deborah Attoinese'],"['Vanessa Zima', 'Jenny Seagrove', 'Stephi Lineburg', 'Victoria Davis', 'Gordon Tootoosis', 'Kim Greist', 'Jamielyn Lippman', 'Gelcys Basulto', 'Karla Ojeda', 'Kirk McKinney', 'Judy Scheer', 'Shelly Desai', 'Sabrina Artel', 'Arell Blanton', 'Lilli Birdsell', 'Brian T. Finney', 'Virginia Morris', 'Nick Gaza', 'Brentley Gore', 'Brent Sexton', 'Chas Mitchell', 'Robyn Lees', 'Oliver Parker', 'Allan Corduner', 'Celia Henebury', 'Brian McDermott', 'Eileen Castelo', 'Peter Armstrong', 'Gary Pollock', 'Amanda Pollock', 'Paul Tate', 'Patricia Dipino', 'Jo Turner', 'Jessie Turner', 'Aaron Fors']","Zoe: Directed by Deborah Attoinese. With Vanessa Zima, Jenny Seagrove, Stephi Lineburg, Victoria Davis. Three runaway girls hijack a car.",90
Acts of Worship (2001) ,2001,Drama,6.1,R,['Rosemary Rodriguez'],"['Ana Reeder', 'Michael Hyatt', 'Christopher Kadish', 'Nestor Rodriguez', 'Brian J. Burchill', 'Kelly Cole', 'Robert Gualtieri', 'Eddie Sullivan', 'Cesar Leonardo', 'Simon Gonzalez', ""James Joseph O'Neil"", 'Heather Robbins', 'Arthur French', ""Susan Louise O'Connor"", 'Christopher McCann', 'Kiki Morris', 'Jan Bohan', 'Chris McKinney', 'Van Lederer', 'Buster', 'Jimmy Noonan', 'Rick Davis', 'Alby Guzman', 'Vickie Tanner', 'John Matos', 'Dave Lopez', 'Cello Ayala', 'Michael Kaycheck', 'Victor Otero', 'Vince Verga', 'Thomas Humes', 'Lisa De Fuso', 'C.B. Smith', 'Matthew Saldivar', 'Raven Adams', 'Jessica Wood', 'John Cesare', 'Johnny Hardesty', 'Shalimar', 'Kimmerie Lynch', 'Wren Arthur', 'Elizabeth Rodriguez', 'Peter Butler', 'John Ahearn', 'Lee Quiñones', 'Ellen Blake', 'Dorothy Whyte', 'Shawn M. Richardz', 'Danusia Trevino', 'Bonnie Rose', 'Brett Dolisi', 'Michael Buscemi', 'Ruperto Vanderpool', 'Stephen Gevedon', 'Brett Urquhart', 'Jerome F. Calimeri', 'Ofir Engel']","Acts of Worship: Directed by Rosemary Rodriguez. With Ana Reeder, Michael Hyatt, Christopher Kadish, Nestor Rodriguez. Alix is taken in by a photographer, Digna, who despite her friends' protests, tries to help Alix piece her life back together and overcome her addictions.",94
Play Dead (2001) ,2001,Comedy,5.5,,['Jeff Jenkins'],"['Diva Zappa', 'Nathan Bexton', 'Sherrie Rose', 'Jessica D. Stone', 'Jason Hall', 'Katherine Connella', 'Chris Simmons']","Play Dead: Directed by Jeff Jenkins. With Diva Zappa, Nathan Bexton, Sherrie Rose, Jessica D. Stone. True love never dies...",
